Module,Function,Settings,Explanation
pandas,"merge(left, right)","how='inner', on=None,
left_on=None, right_on=None,
left_index=False, right_index=False,
sort=False, suffixes=('_x', '_y'),
copy=True, indicator=False","Merge DataFrame objects by performing a database-style join operation by columns or indexes.
If joining columns on columns, the DataFrame indexes will be ignored. Otherwise if joining indexes on indexes or indexes on a column or columns, the index will be passed on.
**how**
{'left', 'right', 'outer', 'inner'}, default 'inner'
left: use only keys from left frame, similar to a SQL left outer join; preserve key order.
right: use only keys from right frame, similar to a SQL right outer join; preserve key order.
outer: use union of keys from both frames, similar to a SQL full outer join; sort keys lexicographically.
inner: use intersection of keys from both frames, similar to a SQL inner join; preserve the order of the left keys.
**on**
label or list
Field names to join on. Must be found in both DataFrames. If on is None and not merging on indexes, then it merges on the intersection of the columns by default.
**left_on**
label or list, or array-like
Field names to join on in left DataFrame. Can be a vector or list of vectors of the length of the DataFrame to use a particular vector as the join key instead of columns.
**right_on**
label or list, or array-like
Field names to join on in right DataFrame or vector/list of vectors per left_on docs
**suffixes**
2-length sequence (tuple, list, ¡­)
Suffix to apply to overlapping column names in the left and right side, respectively
**left_index**
boolean, default False
Use the index from the left DataFrame as the join key(s). If it is a MultiIndex, the number of keys in the other DataFrame (either the index or a number of columns) must match the number of levels.
**right_index**
boolean, default False
Use the index from the right DataFrame as the join key. Same caveats as left_index."
pandas,"qcut(x, q)","labels=None, retbins=False,
precision=3, duplicates='raise'","Quantile-based discretization function. Discretize variable into equal-sized buckets based on rank or based on sample quantiles. For example 1000 values for 10 quantiles would produce a Categorical object indicating quantile membership for each data point.
**x**
ndarray or Series
**q**
integer or array of quantiles
Number of quantiles. 10 for deciles, 4 for quartiles, etc. Alternately array of quantiles, e.g. [0, .25, .5, .75, 1.] for quartiles."
pandas,read_csv(filepath_or_buffer),"filepath_or_buffer, sep, delimiter
header, names, index_col, skiprows
na_values, encoding, decimal
nrows, chunksize, keep_default_na
","Read CSV (comma-separated) file into DataFrame.
**filepath_or_buffer**
str, pathlib.Path, py._path.local.LocalPath or any object with a read() method (such as a file handle or StringIO)
The string could be a URL.
**sep**
str, default ','
Delimiter to use.
**delimiter**
str, default None
Alternative argument name for sep.
**header**
int or list of ints, default 'infer'
Row number(s) to use as the column names, and the start of the data. Default behavior is: as if set to 0 if no names passed, otherwise None.
-- Use header=None is there is no header.
**names**
array-like, default None
List of column names to use. If file contains no header row, then you should explicitly pass header=None.
**index_col**
int or sequence or False, default None
Column to use as the row labels of the DataFrame. If a sequence is given, a MultiIndex is used.
**skiprows**
list-like or integer or callable, default None
Line numbers to skip (0-indexed) or number of lines to skip (int) at the start of the file.
**na_values**
scalar, str, list-like, or dict, default None
Additional strings to recognize as NA/NaN. If dict passed, specific per-column NA values.
**encoding**
str, default None
Encoding to use for UTF when reading/writing (ex. 'utf-8'). List of Python standard encodings
**decimal**
str, default '.'
Character to recognize as decimal point (e.g. use ',' for European data).
**nrows**
int, default None
Number of rows of file to read. Useful for reading pieces of large files
**chunksize**
int, default None
Return TextFileReader object for iteration. See the IO Tools docs for more information on iterator and chunksize.
**keep_default_na**
bool, default True
If na_values are specified and keep_default_na is False the default NaN values are overridden, otherwise they¡¯re appended to.
"
pandas,read_excel(io),"sheet_name=0, header=0,
skiprows=None, ...,
****kwargs",Read an Excel table into a pandas DataFrame.
pandas,"read_sql(sql, con)","index_col=None, coerce_float=True
params=None, parse_dates=None
columns=None, chunksize=None","Read SQL query or database table into a DataFrame.
# chunksize available! Very fast!"
pandas,read_table(filepath_or_buffer),"sep='\t', delimiter=None,
header='infer', names=None,
index_col=None, decimal=b'.',
quotechar='""', quoting=0,
encoding=None, doublequote=True","Read general delimited file into DataFrame.
Also supports optionally iterating or breaking of the file into chunks."
pandas,Series(),"data=None, index=None, dtype=None,
name=None, copy=False, fastpath=False","One-dimensional ndarray with axis labels (including time series).
Labels need not be unique but must be a hashable type. The object supports both integer- and label-based indexing and provides a host of methods for performing operations involving the index. Statistical methods from ndarray have been overridden to automatically exclude missing data (currently represented as NaN).
Operations between Series (+, -, /, , *) align values based on their associated index values¨C they need not be the same length. The result index will be the sorted union of the two indexes.
**dtype**
numpy.dtype or None
If None, dtype will be inferred.
-- Use dtype=""category"", you can create a categorical data: pandas.Categorical."
pandas,value_counts(),"normalize=False, sort=True,
ascending=False, bins=None,
dropna=True","Returns object containing counts of unique values.
The resulting object will be in descending order so that the first element is the most frequently-occurring element. Excludes NA values by default."
pandas.DataFrame*,.columns,,# Index object of the columns.
pandas.DataFrame*,.dtypes,,Return the dtypes in this object.
pandas.DataFrame*,.T,,Transpose index and columns.
pandas.DataFrame*,.values,,# the underlying data of DataFrame
pandas.DataFrame*,add(other),"axis='columns', level=None,
fill_value=None","Addition of dataframe and other, element-wise (binary operator add).
Equivalent to dataframe + other, but with support to substitute a fill_value for missing data in one of the inputs."
pandas.DataFrame*,aggregate(func),"axis=0, *args, **kwargs","Aggregate using callable, string, dict, or list of string/callables."
pandas.DataFrame*,append(other),"ignore_index=False,
verify_integrity=False","Append rows of other to the end of this frame, returning a new object. Columns not in this frame are added as new columns."
pandas.DataFrame*,apply(func),"axis=0, broadcast=False, raw=False,
reduce=None, args=(), **kwds","Applies function along input axis of DataFrame.
Objects passed to functions are Series objects having index either the DataFrame's index (axis=0) or the columns (axis=1). Return type depends on whether passed function aggregates, or the reduce argument if the DataFrame is empty.
**func**
function
Function to apply to each column/row
**axis**
{0 or 'index', 1 or 'columns'}, default 0
0 or 'index': apply function to each column.
1 or 'columns': apply function to each row.
**args**
tuple
Positional arguments to pass to function in addition to the array/series."
pandas.DataFrame*,applymap(func),,"Apply a function to a DataFrame that is intended to operate elementwise, i.e. like doing map(func, series) for each series in the DataFrame.
**func**
function
Python function, returns a single value from a single value."
pandas.DataFrame*,combine_first(other),,Combine two DataFrame objects and default to non-null values in frame calling the method. Result index columns will be the union of the respective indexes and columns.
pandas.DataFrame*,copy(),deep=True,Make a copy of this objects data.
pandas.DataFrame*,corr(),"method='pearson', min_periods=1","Compute pairwise correlation of columns, excluding NA/null values"
pandas.DataFrame*,corrwith(other),"axis=0, drop=False",Compute pairwise correlation between rows or columns of two DataFrame objects.
pandas.DataFrame*,count(),"axis=0, level=None,
numeric_only=False",Return Series with number of non-NA/null observations over requested axis. Works with non-floating point data as well (detects NaN and None).
pandas.DataFrame*,cov(),min_periods=None,"Compute pairwise covariance of columns, excluding NA/null values."
pandas.DataFrame*,cummax(),"axis=None, skipna=True,
*args, **kwargs",Return cumulative max over requested axis.
pandas.DataFrame*,cummin(),"axis=None, skipna=True,
*args, **kwargs",Return cumulative minimum over requested axis.
pandas.DataFrame*,cumprod(),"axis=None, skipna=True,
*args, **kwargs",Return cumulative product over requested axis.
pandas.DataFrame*,cumsum(),"axis=None, skipna=True,
*args, **kwargs",Return cumulative sum over requested axis.
pandas.DataFrame*,describe(),"percentiles=None, include=None,
exclude=None","Generates descriptive statistics that summarize the central tendency, dispersion and shape of a dataset's distribution, excluding NaN values.
Analyzes both numeric and object series, as well as DataFrame column sets of mixed data types. The output will vary depending on what is provided. Refer to the notes below for more detail."
pandas.DataFrame*,diff(),"periods=1, axis=0",1st discrete difference of object.
pandas.DataFrame*,div(other),"axis='columns', level=None,
fill_value=None","Floating division of dataframe and other, element-wise (binary operator truediv).
Equivalent to dataframe / other, but with support to substitute a fill_value for missing data in one of the inputs."
pandas.DataFrame*,drop(labels),"axis=0, level=None,
inplace=False, errors='raise'",Return new object with labels in requested axis removed.
pandas.DataFrame*,drop_duplicates(),"subset=None, keep='first',
inplace=False","Return DataFrame with duplicate rows removed, optionally only considering certain columns."
pandas.DataFrame*,dropna(),"axis=0, how='any',
thresh=None, subset=None,
inplace=False",Return object with labels on given axis omitted where alternately any or all of the data are missing.
pandas.DataFrame*,duplicated(),"subset=None, keep='first'","Return boolean Series denoting duplicate rows, optionally only considering certain columns."
pandas.DataFrame*,fillna(),"value=None, method=None,
axis=None, inplace=False,
limit=None, downcast=None,
**kwargs","Fill NA/NaN values using the specified method.
-- Use a dict as input, you can specialize every columns's filling value."
pandas.DataFrame*,"get_value(index, col)",takeable=False,Quickly retrieve single value at passed column and index.
pandas.DataFrame*,"groupby(by=None, level=None)","axis=0, as_index=True,
sort=True, group_keys=True,
squeeze=False, **kwargs","Group series using mapper (dict or key function, apply given function to group, return result as series) or by a series of columns.
-- Return a GroupBy object.
**by**
mapping, function, str, or iterable
Used to determine the groups for the groupby. If by is a function, it¡¯s called on each value of the object¡¯s index. If a dict or Series is passed, the Series or dict VALUES will be used to determine the groups (the Series¡¯ values are first aligned; see .align() method). If an ndarray is passed, the values are used as-is determine the groups. A str or list of strs may be passed to group by the columns in self.
**axis**
int, default 0"
pandas.DataFrame*,head(),n=5,Returns first n rows.
pandas.DataFrame*,iloc[],,# For indexing.
pandas.DataFrame*,isin(values),,Return boolean DataFrame showing whether each element in the DataFrame is contained in values.
pandas.DataFrame*,isnull(),,Return a boolean same-sized object indicating if the values are null.
pandas.DataFrame*,iteritems(),,"Iterator over (column name, Series) pairs."
pandas.DataFrame*,iterrows(),,"Iterate over DataFrame rows as (index, Series) pairs."
pandas.DataFrame*,itertuples(),"index=True, name='Pandas'","Iterate over DataFrame rows as namedtuples, with index value as first element of the tuple."
pandas.DataFrame*,ix[],,"A primarily label-location based indexer, with integer position fallback.
.ix[] supports mixed integer and label based access. It is primarily label based, but will fall back to integer positional access unless the corresponding axis is of integer type.
.ix is the most general indexer and will support any of the inputs in .loc and .iloc. .ix also supports floating point label schemes. .ix is exceptionally useful when dealing with mixed positional and label based hierachical indexes.
However, when an axis is integer based, ONLY label based access and not positional access is supported. Thus, in such cases, it's usually better to be explicit and use .iloc or .loc."
pandas.DataFrame*,join(other),"on=None, how='left',
lsuffix='', rsuffix='',
sort=False",Join columns with other DataFrame either on index or on a key column. Efficiently Join multiple DataFrame objects by index at once by passing a list.
pandas.DataFrame*,kurt(),"axis=None, skipna=None,
level=None, numeric_only=None,
**kwargs","Return unbiased kurtosis over requested axis using Fisher's definition of kurtosis (kurtosis of normal == 0.0).
Normalized by N-1."
pandas.DataFrame*,loc[],,# For indexing.
pandas.DataFrame*,mad(),"axis=None, skipna=None,
level=None",Return the mean absolute deviation of the values for the requested axis.
pandas.DataFrame*,max(),"axis=None, skipna=None,
level=None, numeric_only=None,
**kwargs",This method returns the maximum of the values in the object.
pandas.DataFrame*,mean(),"axis=None, skipna=None,
level=None, numeric_only=None,
**kwargs",Return the mean of the values for the requested axis.
pandas.DataFrame*,median(),"axis=None, skipna=None,
level=None, numeric_only=None,
**kwargs",Return the median of the values for the requested axis.
pandas.DataFrame*,min(),"axis=None, skipna=None,
level=None, numeric_only=None,
**kwargs",This method returns the minimum of the values in the object.
pandas.DataFrame*,mul(other),"axis='columns', level=None,
fill_value=None","Multiplication of dataframe and other, element-wise (binary operator mul).
Equivalent to dataframe * other, but with support to substitute a fill_value for missing data in one of the inputs."
pandas.DataFrame*,notnull(),,Return a boolean same-sized object indicating if the values are not null.
pandas.DataFrame*,pct_change(),"periods=1, fill_method='pad',
limit=None, freq=None, **kwargs",Percent change over given number of periods.
pandas.DataFrame*,"pivot(index, columns)",values=None,"Reshape data (produce a ¡°pivot'' table) based on column values. Uses unique values from index / columns to form axes of the resulting DataFrame.
**index**
string or object, optional
Column name to use to make new frame's index. If None, uses existing index.
**columns**
string or object
Column name to use to make new frame's columns.
**values**
string or object, optional
Column name to use for populating new frame's values. If not specified, all remaining columns will be used and the result will have hierarchically indexed columns."
pandas.DataFrame*,quantile(),"q=0.5, axis=0,
numeric_only=True,
interpolation='linear'","Return values at the given quantile over requested axis, a la numpy.percentile."
pandas.DataFrame*,rank(),"axis=0, method='average',
numeric_only=None, na_option='keep',
ascending=True, pct=False",Compute numerical data ranks (1 through n) along axis. Equal values are assigned a rank that is the average of the ranks of those values.
pandas.DataFrame*,reindex(),"index=None, columns=None, **kwargs","Conform DataFrame to new index with optional filling logic, placing NA/NaN in locations having no value in the previous index. A new object is produced unless the new index is equivalent to the current one and copy=False
**index, columns**
array-like, optional (can be specified in order, or as keywords)
New labels / index to conform to. Preferably an Index object to avoid duplicating data.
**copy**
boolean, default True
Return a new object, even if the passed indexes are the same
**fill_value**
scalar, default np.NaN
Value to use for missing values. Defaults to NaN, but can be any ¡°compatible'' value."
pandas.DataFrame*,rename(),"index=None, columns=None,
**kwargs","Alter axes input function or functions. Function / dict values must be unique (1-to-1). Labels not contained in a dict / Series will be left as-is. Extra labels listed don¡¯t throw an error. Alternatively, change Series.name with a scalar value (Series only).
**index, columns**
scalar, list-like, dict-like or function, optional
Scalar or list-like will alter the Series.name attribute, and raise on DataFrame or Panel. dict-like or functions are transformations to apply to that axis¡¯ values
**copy**
boolean, default True
Also copy underlying data
**inplace**
boolean, default False
Whether to return a new DataFrame. If True then value of copy is ignored.
**level**
int or level name, default None
In case of a MultiIndex, only rename labels in the specified level."
pandas.DataFrame*,"rename(index, columns)",**kwargs,"Alter axes input function or functions. Function / dict values must be unique (1-to-1). Labels not contained in a dict / Series will be left as-is. Extra labels listed don't throw an error. Alternatively, change Series.name with a scalar value (Series only).
**index, columns**
scalar, list-like, dict-like or function, optional
Scalar or list-like will alter the Series.name attribute, and raise on DataFrame or Panel. dict-like or functions are transformations to apply to that axis' values."
pandas.DataFrame*,replace(),"to_replace=None, value=None,
inplace=False, limit=None,
regex=False, method='pad',
axis=None",Replace values given in 'to_replace' with 'value'.
pandas.DataFrame*,reset_index(),"level=None, drop=False,
inplace=False, col_level=0,
col_fill=''","For DataFrame with multi-level index, return new DataFrame with labeling information in the columns under the index names, defaulting to 'level_0', 'level_1', etc. if any are None. For a standard index, the index name will be used (if set), otherwise a default 'index' or 'level_0' (if 'index' is already taken) will be used."
pandas.DataFrame*,set_index(keys),"drop=True, append=False,
inplace=False, verify_integrity=False",Set the DataFrame index (row labels) using one or more existing columns. By default yields a new object.
pandas.DataFrame*,"set_value(index, col, value)",takeable=False,Put single value at passed column and index.
pandas.DataFrame*,skew(),"axis=None, skipna=None,
level=None, numeric_only=None,
**kwargs",Return unbiased skew over requested axis Normalized by N-1.
pandas.DataFrame*,sort_index(),"axis=0, level=None,
ascending=True, inplace=False,
kind='quicksort', na_position='last',
sort_remaining=True, by=None",Sort object by labels (along an axis).
pandas.DataFrame*,sort_values(by),"axis=0, ascending=True, inplace=False,
kind='quicksort', na_position='last'",Sort by the values along either axis.
pandas.DataFrame*,stack(),"level=-1, dropna=True","Pivot a level of the (possibly hierarchical) column labels, returning a DataFrame (or Series in the case of an object with a single level of column labels) having a hierarchical index with a new inner-most level of row labels. The level involved will automatically get sorted."
pandas.DataFrame*,std(),"axis=None, skipna=None,
level=None, ddof=1,
numeric_only=None, **kwargs","Return sample standard deviation over requested axis.
Normalized by N-1 by default. This can be changed using the ddof argument."
pandas.DataFrame*,sub(other),"axis='columns', level=None,
fill_value=None","Subtraction of dataframe and other, element-wise (binary operator sub).
Equivalent to dataframe - other, but with support to substitute a fill_value for missing data in one of the inputs."
pandas.DataFrame*,sum(),"axis=None, skipna=None
level=None, numeric_only=None
**kwargs","Return the sum of the values for the requested axis
**axis**
{index (0), columns (1)}
**skipna**
boolean, default True
Exclude NA/null values. If an entire row/column is NA or empty, the result will be NA
**level**
int or level name, default None
If the axis is a MultiIndex (hierarchical), count along a particular level, collapsing into a Series
**numeric_only**
boolean, default None
Include only float, int, boolean columns. If None, will attempt to use everything, then use only numeric data. Not implemented for Series."
pandas.DataFrame*,swaplevel(),"i=-2, j=-1,
axis=0",Swap levels i and j in a MultiIndex on a particular axis.
pandas.DataFrame*,tail(),n=5,Returns last n rows.
pandas.DataFrame*,take(indices),"axis=0, convert=True,
is_copy=True, **kwargs",Analogous to ndarray.take.
pandas.DataFrame*,to_csv(path_or_buf=None),"path_or_buf, sep=', ',
na_rep='', columns=None,
header=True, index=True,
encoding=None, quoting=None,
quotechar='""',  date_format=None,
doublequote=True, decimal='.'","Write DataFrame to a comma-separated values (csv) file.
**path_or_buf**
string or file handle, default None
File path or object, if None is provided the result is returned as a string.
**sep**
character, default ','
Field delimiter for the output file.
**na_rep**
string, default ''
Missing data representation.
**columns**
sequence, optional
Columns to write.
**header**
boolean or list of string, default True
Write out column names. If a list of string is given it is assumed to be aliases for the column names.
**index**
boolean, default True
Write row names (index)."
pandas.DataFrame*,var(),"axis=None, skipna=None,
level=None, ddof=1,
numeric_only=None, **kwargs","Return unbiased variance over requested axis.
Normalized by N-1 by default. This can be changed using the ddof argument."
pandas.DataFrame*,xs(key),"axis=0, level=None, drop_level=True",Returns a cross-section (row(s) or column(s)) from the Series/DataFrame. Defaults to cross-section on the rows (axis=0).
pandas.Index*,.is_unique,,"# Return a bool value, indicate if the *Index* are unique."
pandas.Index*,.name,,# the name of the Index.
pandas.Index*,.names,,# the name of the Index.
pandas.Index*,sort_values(),"return_indexer=False, ascending=True",Return sorted copy of Index.
pandas.Index*,tolist(),,Return a list of the Index values.
pandas.Index*,unique(),,"Return unique values in the object. Uniques are returned in order of appearance, this does NOT sort. Hash table-based unique."
pandas.MultiIndex*,.labels,,# return the underlying interger of levels of the index.
pandas.MultiIndex*,.name,,# the name of the Index.
pandas.MultiIndex*,.names,,Names of levels in MultiIndex.
pandas.MultiIndex*,from_arrays(arrays),"sortorder=None, names=None",Convert arrays to MultiIndex.
pandas.Series*,.index,,Return the index of the Series.
pandas.Series*,.is_unique,,Return boolean if values in the object are unique.
pandas.Series*,.shape,,Return a tuple of the shape of the underlying data.
pandas.Series*,.size,,Return the number of elements in the underlying data.
pandas.Series*,.values,,Return Series as ndarray or ndarray-like.
pandas.Series*,add(other),"level=None, fill_value=None, 
axis=0","Addition of series and other, element-wise (binary operator add).
Equivalent to series + other, but with support to substitute a fill_value for missing data in one of the inputs."
pandas.Series*,all(),"axis=None, bool_only=None,
skipna=None, level=None,
**kwargs",Return whether all elements are True over requested axis.
pandas.Series*,append(to_append),"ignore_index=False,
verify_integrity=False",Concatenate two or more Series.
pandas.Series*,apply(func),"convert_dtype=True, args=(), **kwds","Invoke function on values of Series. Can be ufunc (a NumPy function that applies to the entire Series) or a Python function that only works on single values.
**func**
function
**convert_dtype**
boolean, default True
Try to find better dtype for elementwise function results. If False, leave as dtype=object.
**args**
tuple
Positional arguments to pass to function in addition to the value."
pandas.Series*,astype(dtype),"copy=True, errors='raise',
**kwargs","Cast object to input numpy.dtype Return a copy when copy = True (be really careful with this!).
**dtype**
data type, or dict of column name -> data type
Use a numpy.dtype or Python type to cast entire pandas object to the same type. Alternatively, use {col: dtype, ¡­}, where col is a column label and dtype is a numpy.dtype or Python type to cast one or more of the DataFrame's columns to column-specific types.
-- Use dtype=""category"", you can change the pandas.Series into a categorical data: pandas.Categorical."
pandas.Series*,combine_first(other),,"Combine Series values, choosing the calling Series's values first. Result index will be the union of the two indexes."
pandas.Series*,copy(),deep=True,Make a copy of this objects data.
pandas.Series*,corr(other),"method='pearson',
min_periods=None","Compute correlation with other Series, excluding missing values."
pandas.Series*,count(),level=None,Return number of non-NA/null observations in the Series.
pandas.Series*,cov(other),min_periods=None,"Compute covariance with Series, excluding missing values."
pandas.Series*,cummax(),"axis=None, skipna=True,
*args, **kwargs",Return cumulative max over requested axis.
pandas.Series*,cummin(),"axis=None, skipna=True,
*args, **kwargs",Return cumulative minimum over requested axis.
pandas.Series*,cumprod(),"axis=None, skipna=True,
*args, **kwargs",Return cumulative product over requested axis.
pandas.Series*,cumsum(),"axis=None, skipna=True,
*args, **kwargs",Return cumulative sum over requested axis.
pandas.Series*,describe(),"percentiles=None, include=None,
exclude=None","Generates descriptive statistics that summarize the central tendency, dispersion and shape of a dataset's distribution, excluding NaN values.
Analyzes both numeric and object series, as well as DataFrame column sets of mixed data types. The output will vary depending on what is provided. Refer to the notes below for more detail."
pandas.Series*,diff(),periods=1,1st discrete difference of object.
pandas.Series*,div(other),"level=None, fill_value=None, 
axis=0","Floating division of series and other, element-wise (binary operator truediv).
Equivalent to series / other, but with support to substitute a fill_value for missing data in one of the inputs."
pandas.Series*,drop(labels),"axis=0, level=None,
inplace=False, errors='raise'",Return new object with labels in requested axis removed.
pandas.Series*,dropna(),"axis=0, inplace=False,
**kwargs",Return Series without null values.
pandas.Series*,fillna(),"value=None, method=None,
axis=None, inplace=False,
limit=None, downcast=None,
**kwargs",Fill NA/NaN values using the specified method.
pandas.Series*,head(),n=5,# Return first n items.
pandas.Series*,idxmax(),"axis=None, skipna=True,
*args, **kwargs",Index of first occurrence of maximum of values.
pandas.Series*,idxmin(),"axis=None, skipna=True,
*args, **kwargs",Index of first occurrence of minimum of values.
pandas.Series*,iloc[],,# For indexing.
pandas.Series*,isin(values),,Return a boolean Series showing whether each element in the Series is exactly contained in the passed sequence of values.
pandas.Series*,isnull(),,Return a boolean same-sized object indicating if the values are null.
pandas.Series*,kurt(),"axis=None, skipna=None,
level=None, numeric_only=None,
**kwargs","Return unbiased kurtosis over requested axis using Fisher's definition of kurtosis (kurtosis of normal == 0.0).
Normalized by N-1"
pandas.Series*,loc[],,# For indexing.
pandas.Series*,mad(),"axis=None, skipna=None,
level=None",Return the mean absolute deviation of the values for the requested axis.
pandas.Series*,map(arg),na_action=None,"Map values of Series using input correspondence (which can be a dict, Series, or function).
**arg**
function, dict, or Series
**na_action**
{None, 'ignore'}
If 'ignore', propagate NA values, without passing them to the mapping function."
pandas.Series*,max(),"axis=None, skipna=None,
level=None, numeric_only=None,
**kwargs",This method returns the maximum of the values in the object.
pandas.Series*,mean(),"axis=None, skipna=None,
level=None, numeric_only=None,
**kwargs",Return the mean of the values for the requested axis.
pandas.Series*,median(),"axis=None, skipna=None,
level=None, numeric_only=None,
**kwargs",Return the median of the values for the requested axis.
pandas.Series*,min(),"axis=None, skipna=None,
level=None, numeric_only=None,
**kwargs",This method returns the minimum of the values in the object.
pandas.Series*,mul(other),"level=None, fill_value=None, 
axis=0","Multiplication of series and other, element-wise (binary operator mul).
Equivalent to series * other, but with support to substitute a fill_value for missing data in one of the inputs."
pandas.Series*,notnull(),,Return a boolean same-sized object indicating if the values are not null.
pandas.Series*,pct_change(),"periods=1, fill_method='pad',
limit=None, freq=None, **kwargs",Percent change over given number of periods.
pandas.Series*,quantile(),"q=0.5, interpolation='linear'","Return value at the given quantile, a la numpy.percentile."
pandas.Series*,rank(),"axis=0, method='average',
numeric_only=None, na_option='keep',
ascending=True, pct=False",Compute numerical data ranks (1 through n) along axis. Equal values are assigned a rank that is the average of the ranks of those values.
pandas.Series*,reindex(),"index=None,**kwargs","Conform Series to new index with optional filling logic, placing NA/NaN in locations having no value in the previous index. A new object is produced unless the new index is equivalent to the current one and copy=False.
**index**
array-like, optional (can be specified in order, or as keywords) 
New labels / index to conform to. Preferably an Index object to avoid duplicating data.
**copy**
boolean, default True
Return a new object, even if the passed indexes are the same.
**fill_value**
scalar, default np.NaN
Value to use for missing values. Defaults to NaN, but can be any ¡°compatible'' value."
pandas.Series*,replace(),"to_replace=None, value=None,
inplace=False, limit=None,
regex=False, method='pad',
axis=None",Replace values given in 'to_replace' with 'value'.
pandas.Series*,round(),"decimals=0, *args, **kwargs",Round each value in a Series to the given number of decimals.
pandas.Series*,skew(),"axis=None, skipna=None,
level=None, numeric_only=None,
**kwargs",Return unbiased skew over requested axis Normalized by N-1.
pandas.Series*,std(),"axis=None, skipna=None,
level=None, ddof=1,
numeric_only=None, **kwargs","Return sample standard deviation over requested axis.
Normalized by N-1 by default. This can be changed using the ddof argument."
pandas.Series*,sub(other),"level=None, fill_value=None, 
axis=0","Subtraction of series and other, element-wise (binary operator sub).
Equivalent to series - other, but with support to substitute a fill_value for missing data in one of the inputs."
pandas.Series*,sum(),"axis=None, skipna=None
level=None, numeric_only=None
**kwargs","Return the sum of the values for the requested axis.
**axis**
{index (0)}
**skipna**
boolean, default True
Exclude NA/null values. If an entire row/column is NA or empty, the result will be NA
**level**
int or level name, default None
If the axis is a MultiIndex (hierarchical), count along a particular level, collapsing into a scalar
**numeric_only**
boolean, default None
Include only float, int, boolean columns. If None, will attempt to use everything, then use only numeric data. Not implemented for Series."
pandas.Series*,tail(),n=5,# Returns last n items.
pandas.Series*,to_csv(),"path=None, index=True, sep=', ',
na_rep='', float_format=None,
header=False, index_label=None,
mode='w', encoding=None,
date_format=None, decimal='.'",Write Series to a comma-separated values (csv) file.
pandas.Series*,to_dict(),,Convert Series to {label -> value} dict or dict-like object.
pandas.Series*,to_frame(),name=None,Convert Series to DataFrame.
pandas.Series*,tolist(),,Convert Series to a nested list.
pandas.Series*,unstack(),"level=-1, fill_value=None","Unstack, a.k.a. pivot, Series with MultiIndex to produce DataFrame. The level involved will automatically get sorted."
pandas.Series*,value_counts(),"normalize=False, sort=True,
ascending=False, bins=None,
dropna=True","Returns object containing counts of unique values.
The resulting object will be in descending order so that the first element is the most frequently-occurring element. Excludes NA values by default."
pandas.Series*,var(),"axis=None, skipna=None,
level=None, ddof=1,
numeric_only=None, **kwargs","Return unbiased variance over requested axis.
Normalized by N-1 by default. This can be changed using the ddof argument."
pip,get_installed_distributions(),,Return a list of installed Distribution objects.
pip.Distribution*,project_name,,# Return the packages name of the Distribution object.
py2neo,Graph(password),"bolt=None, user='neo4j'","The `Graph` class represents a Neo4j graph database. Connection details are provided using URIs and/or individual settings. 
**bolt**
bool, ``None``
Use Bolt* protocol (`None` means autodetect).
**user**
str
User to authenticate as.
**password**
str
Password to use for authentication."
py2neo,"Node(Relatable, Entity)",,"A node is a fundamental unit of data storage within a property graph that may optionally be connected, via relationships, to other nodes.
All positional arguments passed to the constructor are interpreted as labels and all keyword arguments as properties
**positional arguments**
**keyword arguments**"
py2neo,NodeSelector(Graph),,"A :py:class:`.NodeSelector` can be used to locate nodes that fulfil a specific set of criteria. Typically, a single node can be identified passing a specific label and property key-value pair.
However, any number of labels and any condition supported by the Cypher `WHERE` clause is allowed."
py2neo,Relationship(Entity),,"A relationship represents a typed connection between a pair of nodes.
The positional arguments passed to the constructor identify the nodes to relate and the type of the relationship. Keyword arguments describe the properties of the relationship."
py2neo,Subgraph(),"nodes=None, relationships=None","Arbitrary, unordered collection of nodes and relationships.
# You can't create a empty Subgraph, must pass a nodes, or relationships."
py2neo,Walkable(Subgraph),,A subgraph with added traversal information.
py2neo.Graph*,create(subgraph),,"Run a :meth:`.Transaction.create` operation within an `autocommit` :class:`.Transaction`.
:param subgraph: a :class:`.Node`, :class:`.Relationship` or other :class:`.Subgraph`"
py2neo.Graph*,push(subgraph),,"Push data from one or more entities to their remote counterparts.
**subgraph**
the collection of nodes and relationships to push."
py2neo.NodeSelection*,where(),"conditions, properties","Create a new selection based on this selection. The criteria specified for refining the selection consist of conditions and properties. Conditions are individual Cypher expressions that would be found in a `WHERE` clause; properties are used as exact matches for property values.
**conditions**
Cypher expressions to add to the selection `WHERE` clause
**param properties**
exact property match keys and values
**return**
refined selection object"
py2neo.NodeSelector*,select(),"labels, properties","Describe a basic node selection using labels and property equality.
**labels**
node labels to match.
**param properties**
set of property keys and values to match.
**return**
pyclass: `.NodeSelection` instance."
py2neo.Relationship*,type(),,The type of this relationship.
py2neo.Subgraph*,keys(),,Set of all property keys.
py2neo.Subgraph*,labels(),,Set of all node labels.
py2neo.Subgraph*,nodes(),,Set of all nodes.
py2neo.Subgraph*,relationships(),,Set of all relationships.
py2neo.Subgraph*,types(),,Set of all relationship types.
py2neo.Walkable*,end_node(),,The last node encountered on a :func:`.walk` of this object.
py2neo.Walkable*,nodes(),,The sequence of nodes over which a :func:`.walk` of this object will traverse.
py2neo.Walkable*,relationships(),,The sequence of relationships over which a :func:`.walk` of this object will traverse.
py2neo.Walkable*,start_node(),,The first node encountered on a :func:`.walk` of this object.
